username,visited,nomadlist_recommends
@valentinesquier,"['Ubud, Bali,  Indonesia', 'Lyon,  France']","['Bangkok, Thailand', 'Chiang  Mai, Thailand', 'Lisbon, Portugal', 'Kuala  Lumpur, Malaysia', 'Barcelona, Spain', 'Canggu, Indonesia', 'Tokyo, Japan', 'Budapest, Hungary']"
@lozziefizzer,"['Amsterdam,  Netherlands', 'Basingstoke,  United Kingdom', 'Helsinki,  Finland']","['Bangkok, Thailand', 'Lisbon, Portugal', 'Barcelona, Spain', 'Budapest, Hungary', 'Berlin, Germany', 'Prague, Czechia', 'Madrid, Spain', 'Istanbul, Turkey']"
@jasmien,"['Bangkok,  Thailand']","['Chiang  Mai, Thailand', 'Lisbon, Portugal', 'Kuala  Lumpur, Malaysia', 'Barcelona, Spain', 'Canggu, Indonesia', 'Tokyo, Japan', 'Hong  Kong, Germany']"
@harris,"['Lund,  Sweden', 'Copenhagen,  Denmark', 'Aarhus,  Denmark', 'Odense,  Denmark', 'Copenhagen,  Denmark', 'Budapest,  Hungary', 'Lund,  Sweden', 'Aarhus,  Denmark', 'Copenhagen,  Denmark', 'Odense,  Denmark', 'Havana,  Cuba', 'Panama City,  Panama', 'Panajachel,  Guatemala', 'Barcelona,  Spain', 'Tamarindo,  Costa Rica']","['Bangkok, Thailand', 'Chiang  Mai, Thailand', 'Lisbon, Portugal', 'Athens, Greece', 'Berlin, Germany', 'Prague, Czechia', 'Amsterdam, Netherlands', 'Madrid, Spain']"
@johnmids,"['San Antonio, TX,  United States', 'Dubai,  United Arab Emirates', 'Los Angeles, CA,  United States', 'London,  United Kingdom', 'Los Angeles, CA,  United States', 'Las Vegas, NV,  United States', 'Los Angeles, CA,  United States', 'Las Vegas, NV,  United States', 'Fargo, ND,  United States', 'Houston, TX,  United States', 'Los Angeles, CA,  United States', 'Tokyo,  Japan', 'Bangkok,  Thailand', 'Valencia,  Spain', 'Malta, ', 'Valencia,  Spain']","['Chiang  Mai, Thailand', 'Lisbon, Portugal', 'Kuala  Lumpur, Malaysia', 'Mexico  City, Mexico', 'Canggu, Indonesia', 'Hong  Kong, Hungary', 'Budapest, Czechia']"
@yeri,"['Ubud, Bali,  Indonesia', 'Singapore,  Singapore', 'Paris Charles de Gaulle Airport,  France', 'Grimbergen,  Belgium', 'Malmedy,  Belgium', 'Grimbergen,  Belgium', 'Rotterdam,  Netherlands', 'Grimbergen,  Belgium', 'Paris,  France', 'Singapore,  Singapore', 'Ubud, Bali,  Indonesia', 'Kuta, Bali,  Indonesia', 'Singapore,  Singapore', 'Stockholm,  Sweden', 'Brussels,  Belgium', 'Singapore,  Singapore']","['Chiang  Mai, Thailand', 'Lisbon, Portugal', 'Mexico  City, Mexico', 'Canggu, Indonesia', 'Athens, Greece', 'Berlin, Germany', 'Prague, Czechia', 'Da  Nang, Vietnam']"
@askl56,"['Da Nang,  Vietnam', 'Hong Kong,  Hong Kong', 'Ho Chi Minh City,  Vietnam', 'Hong Kong,  Hong Kong', 'Doha,  Qatar', 'Copenhagen,  Denmark', 'Lisbon,  Portugal', 'London,  United Kingdom', 'Saint Kitts and Nevis, ', 'London,  United Kingdom', 'Tokyo,  Japan', 'London,  United Kingdom', 'New York City, NY,  United States', 'San Francisco, CA,  United States', 'Fort Collins, CO,  United States', 'London,  United Kingdom']","['Bangkok, Thailand', 'Chiang  Mai, Thailand', 'Kuala  Lumpur, Malaysia', 'Barcelona, Spain', 'Mexico  City, Mexico', 'Budapest, Hungary', 'Berlin, Germany', 'Prague, Czechia']"
@vladg,"['Paris,  France', 'Barcelona,  Spain']","['Bangkok, Thailand', 'Lisbon, Portugal', 'Budapest, Hungary', 'Berlin, Germany', 'Prague, Czechia', 'Amsterdam, Netherlands', 'Madrid, Spain', 'Porto, Portugal']"
@jmshome,"['New York City, NY,  United States', 'Leeds,  United Kingdom', 'Seoul,  South Korea', 'Sheffield,  United Kingdom', 'Helsinki,  Finland', 'Tokyo,  Japan', 'Sheffield,  United Kingdom', 'Singapore,  Singapore', 'Seoul,  South Korea', 'Singapore,  Singapore', 'Leeds,  United Kingdom', 'Brussels,  Belgium', 'Leeds,  United Kingdom', 'Seoul,  South Korea', 'Leeds,  United Kingdom', 'Kuala Lumpur,  Malaysia']","['Bangkok, Thailand', 'Chiang  Mai, Thailand', 'Lisbon, Portugal', 'Barcelona, Spain', 'Canggu, Indonesia', 'Prague, Czechia', 'Madrid, Spain', 'Ubud, Indonesia']"
@juandi,"['Barcelona,  Spain', 'Madrid,  Spain', 'Orlando, FL,  United States', 'Miami, FL,  United States', 'Orlando, FL,  United States']","['Bangkok, Thailand', 'Lisbon, Portugal', 'Mexico  City, Mexico', 'Budapest, Hungary', 'Berlin, Germany', 'Prague, Czechia', 'Amsterdam, Netherlands', 'Porto, Portugal']"
